"^2THR ^3Daniel ^s1 "6
-111.784 -488.993 190.184 0
-124.935 -487.393 191.536 0
-138.082 -485.88 190.701 0
-151.188 -484.45 189.855 0
-164.273 -483.145 188.833 0
-177.278 -481.848 188.932 0
-190.406 -480.468 190.964 0
-203.588 -478.915 191.92 0
-216.832 -477.328 192.305 0
-229.968 -475.488 191.36 0
-243.125 -473.734 190.745 0
-256.145 -471.581 190.953 0
-269.23 -469.214 192.052 0
-282.149 -466.236 190.876 0
-294.763 -462.412 189.866 0
-307.162 -457.937 189.888 0
-319.27 -452.629 190.448 0
-330.935 -446.417 190.503 0
-342.317 -439.664 190.833 0
-353.169 -432.089 190.668 0
-363.357 -423.667 190.228 0
-372.923 -414.576 189.921 0
-381.524 -404.612 189.602 0
-389.483 -394.129 189.613 0
-396.385 -382.973 189.042 0
-402.676 -371.437 189.459 0
-408.188 -359.478 190.031 0
-413.129 -347.22 190.701 0
-417.409 -334.676 191.184 0
-420.827 -321.865 191.448 0
-423.645 -308.852 191.854 0
-425.425 -295.698 190.734 0
-426.12 -282.576 188.47 0
-425.624 -269.553 186.438 0
-424.091 -256.848 182.56 0
-421.508 -244.627 176.737 0
-418.032 -233.11 169.563 0
-413.877 -222.36 161.971 0
-409.8 -212.203 153.062 0
-406.745 -202.115 150.117 0
-404.816 -191.961 148.085 0
-403.817 -181.775 146.92 0
-404.287 -171.606 145.8 0
-405.417 -161.571 145.074 0
-407.17 -151.665 144.8 0
-409.655 -141.946 143.965 0
-413.224 -132.522 145.36 0
-417.568 -123.323 146.942 0
-422.788 -114.514 147.865 0
-428.884 -106.212 148.854 0
-435.699 -98.3755 150.469 0
-442.999 -90.8217 152.325 0
-450.698 -83.5021 154.028 0
-458.68 -76.2921 155.984 0
-466.673 -68.903 157.797 0
-474.848 -61.5081 159.818 0
-483.179 -54.0724 161.862 0
-491.178 -46.1833 163.103 0
-499.497 -38.3976 165.103 0
-507.915 -30.5185 167.025 0
-515.884 -22.0796 168.311 0
-524.168 -13.7443 170.2 0
-532.49 -5.26901 172.002 0
-540.345 3.6846 173.057 0
-548.459 12.6189 174.76 0
-556.584 21.7073 176.484 0
-564.187 31.2859 176.891 0
-571.841 40.9619 178.22 0
-579.378 50.8407 179.758 0
-586.75 60.9715 181.198 0
-593.883 71.39 182.571 0
-600.387 82.1987 183.175 0
-607.026 93.0999 184.515 0
-613.451 104.235 185.779 0
-619.666 115.459 186.174 0
-625.679 126.949 187.383 0
-631.575 138.581 188.372 0
-637.262 150.405 189.525 0
-643.024 162.214 190.107 0
-648.596 174.225 191.217 0
-654.125 186.338 192.305 0
-659.695 198.515 193.348 0
-665.653 210.459 193.381 0
-671.262 222.698 194.403 0
-676.85 235.023 195.37 0
-682.106 247.533 195.963 0
-687.491 260.065 196.886 0
-692.407 272.799 197.106 0
-697.458 285.551 197.985 0
-702.21 298.468 198.468 0
-706.879 311.472 199.402 0
-711.434 324.578 200.215 0
-715.379 337.841 200.138 0
-719.334 351.175 199.72 0
-723.074 364.568 200.369 0
-726.636 378.045 201.116 0
-729.88 391.635 201.346 0
-733.02 405.287 202.072 0
-735.976 419.021 202.588 0
-738.761 432.836 203.28 0
-741.37 446.732 203.95 0
-743.751 460.612 203.588 0
-745.977 474.597 204.28 0
-748.021 488.656 204.917 0
-749.7 502.79 204.939 0
-751.32 516.955 205.62 0
-752.723 531.185 206.224 0
-753.907 545.476 206.807 0
-754.754 559.729 206.411 0
-755.495 574.062 206.971 0
-756.015 588.444 207.543 0
-756.257 602.853 207.466 0
-756.353 617.277 207.993 0
