"^1[GRT] ^3Wheldon ^9^s2 "70
238.43 113.738 181.846 0
251.041 112.742 181.67 0
263.45 110.565 181.329 0
275.534 107.275 180.417 0
287.293 103.025 180.011 0
298.359 97.444 178.55 0
309.011 91.0985 178.66 0
318.349 83.1596 176.704 0
327.247 74.7522 176.199 0
334.749 65.2689 174.419 0
341.486 55.24 174.056 0
346.817 44.4935 173.046 0
351.026 33.3387 171.815 0
354.32 21.9063 171.398 0
356.024 10.2357 170.013 0
356.627 -1.4704 168.75 0
356.31 -13.1832 168.981 0
355.083 -24.8657 169.684 0
351.954 -36.0365 168.157 0
348.339 -47.098 167.684 0
343.803 -57.8419 168.234 0
338.364 -68.2111 169.113 0
331.49 -77.5791 168.508 0
324.238 -86.7834 169.08 0
316.195 -95.3129 169.552 0
307.546 -103.316 170.53 0
298.404 -110.82 171.255 0
288.884 -118.029 172.595 0
279.196 -125.126 174.078 0
269.401 -132.21 175.254 0
259.447 -139.302 176.748 0
249.628 -146.595 177.418 0
239.556 -153.774 178.846 0
229.292 -160.853 180.231 0
219.314 -168.401 181.307 0
209.088 -175.749 182.362 0
198.674 -183.029 183.735 0
188.218 -190.298 184.823 0
177.553 -197.515 186.251 0
166.822 -204.689 187.295 0
155.766 -211.517 188.229 0
144.347 -217.833 188.767 0
132.579 -223.662 189.602 0
120.483 -228.828 190.426 0
108.049 -233.322 190.679 0
95.3305 -236.9 191.228 0
82.3557 -239.746 191.492 0
69.2211 -241.649 191.799 0
55.9585 -242.801 191.514 0
42.6331 -243.293 192.327 0
29.2559 -243.227 193.052 0
15.8299 -243.051 193.832 0
2.37727 -243.378 194.139 0
-11.0434 -244.535 193.942 0
-24.2747 -246.811 193.722 0
-37.2978 -250.011 193.25 0
-50.0228 -254.178 193.107 0
-62.4561 -259.157 193.381 0
-74.5463 -264.902 193.293 0
-86.2836 -271.391 192.975 0
-97.516 -278.677 193.26 0
-108.346 -286.578 193.601 0
-118.645 -295.067 191.744 0
-128.134 -304.281 189.954 0
-136.656 -314.179 187.471 0
-144.277 -324.637 185.24 0
-150.413 -335.775 182.802 0
-155.312 -347.376 181.34 0
-158.989 -359.34 180.363 0
-161.525 -371.576 180.264 0
-163.127 -383.961 180.527 0
-164.043 -396.471 180.813 0
-163.741 -408.951 180.472 0
-162.802 -421.47 181.208 0
-161.17 -433.939 181.791 0
-159.207 -446.444 182.977 0
-157.184 -458.984 183.658 0
-155.188 -471.625 184.889 0
-153.473 -484.343 185.603 0
-151.777 -497.162 186.79 0
-150.109 -510.063 187.899 0
-148.461 -523.044 188.987 0
-146.788 -535.935 189.272 0
-145.232 -549.025 190.316 0
-143.742 -562.124 190.723 0
-142.248 -575.309 191.547 0
-140.681 -588.513 192.184 0
-139.378 -601.769 192.524 0
-138.288 -615.113 193.217 0
-136.998 -628.425 193.436 0
-135.882 -641.828 194.106 0
-134.824 -655.278 194.744 0
-133.161 -668.622 194.908 0
-131.912 -682.108 195.491 0
-130.773 -695.646 196.084 0
-129.349 -709.086 196.106 0
-128.148 -722.666 196.721 0
-126.603 -736.181 196.644 0
-125.134 -749.776 197.347 0
-123.612 -763.414 197.996 0
-121.504 -776.971 198.358 0
-119.142 -790.509 198.49 0
-116.015 -803.88 197.93 0
-112.031 -817.023 197.611 0
-106.968 -829.714 196.666 0
-100.775 -841.827 195.787 0
-93.7678 -853.437 194.996 0
-85.6163 -864.15 193.909 0
-76.6908 -874.198 193.645 0
-67.1028 -883.602 193.326 0
-56.9391 -892.356 193.074 -1
-46.1745 -900.409 193.348 0
-34.8955 -907.625 192.777 0
-23.0872 -913.919 192.535 0
-10.9323 -919.455 192.305 0
1.60858 -924.044 192.469 0
14.3311 -928.398 193.282 0
27.2952 -931.856 193.25 0
40.4771 -934.35 193.337 0
53.7112 -936.723 193.656 0
67.09 -937.909 193.129 0
80.5069 -938.082 192.942 0
93.8925 -937.253 192.898 0
107.138 -935.44 192.096 0
120.072 -932.254 191.195 0
132.653 -928.095 190.415 0
144.613 -922.575 189.108 0
156.037 -916.173 188.295 0
166.484 -908.464 186.251 0
176.329 -900.119 185.922 0
184.738 -890.494 183.636 0
192.475 -880.395 182.362 0
199.5 -869.852 182.516 0
205.25 -858.622 181.307 0
210.023 -847 180.428 0
214.021 -835.116 180.857 0
216.715 -822.962 178.638 0
218.493 -810.801 176.484 0
219.853 -798.666 175.309 0
221.998 -786.794 172.738 0
225.283 -775.378 169.75 0
229.805 -764.61 167.487 0
235.38 -754.471 166.663 0
241.81 -744.914 166.003 0
249.38 -736.364 164.718 0
257.87 -728.733 164.729 0
267.173 -722.123 165.125 0
277.225 -716.771 164.575 0
287.746 -712.278 165.663 0
298.779 -709.248 165.52 0
310.086 -707.397 165.542 0
321.558 -706.477 166.487 0
333.051 -707.262 166.311 0
344.433 -709.084 166.619 0
355.554 -711.877 164.52 0
366.323 -715.322 162.565 0
377.052 -718.773 162.202 0
387.937 -721.334 160.466 0
398.94 -722.678 159.038 0
409.918 -722.715 157.709 0
420.767 -721.479 157.126 0
431.449 -719.277 157.17 0
441.64 -715.518 156.171 0
451.264 -710.625 155.281 0
460.393 -704.925 154.918 0
468.46 -697.892 154.127 0
475.67 -689.984 154.171 0
482.249 -681.495 155.215 0
487.162 -671.938 154.523 0
491.585 -662.134 155.435 0
494.346 -651.781 154.6 0
496.01 -641.186 153.962 0
496.87 -630.493 154.962 0
496.263 -619.762 154.896 0
494.587 -609.142 155.149 0
492.132 -598.619 156.478 0
489.108 -588.123 158.258 0
485.771 -577.645 159.434 0
482.388 -567.041 161.082 0
478.867 -556.365 162.806 0
475.791 -545.456 163.949 0
472.589 -534.476 165.597 0
469.958 -523.271 166.575 0
467.901 -511.879 167.3 0
466.527 -500.329 167.948 0
466.111 -488.666 168.508 0
466.539 -477.004 168.64 0
467.815 -465.36 169.102 0
469.566 -453.658 170.464 0
471.478 -441.923 171.782 0
473.227 -430.091 172.397 0
474.825 -418.222 172.452 0
475.819 -406.333 169.047 0
476.344 -395.614 149.689 0
476.635 -385.698 135.89 0
475.81 -376.737 124.255 0
474.969 -368.629 112.061 0
473.667 -361.259 102.579 0
471.542 -354.377 100.371 0
468.474 -348.037 99.3164 0
464.501 -342.35 99.4153 0
459.721 -337.254 100.931 0
454.161 -332.822 103.425 0
447.911 -329.121 105.754 0
441.133 -326.12 107.875 0
433.904 -323.968 109.391 0
426.292 -322.904 111.621 0
418.493 -322.739 113.225 0
410.651 -323.799 115.071 0
402.837 -325.689 117.103 0
395.102 -328.354 119.191 0
387.481 -331.755 121.608 0
380.014 -335.841 123.882 0
372.562 -340.303 126.705 0
365.159 -345.193 129.562 0
357.778 -350.484 132.264 0
350.26 -355.845 134.857 0
342.704 -361.485 137.494 0
335.017 -367.241 139.955 0
327.199 -373.168 142.657 0
319.112 -378.905 144.745 0
310.996 -384.785 144.426 0
302.696 -390.808 148.26 0
294.374 -397.009 150.524 -1
285.982 -403.362 152.71 0
277.528 -409.757 154.413 0
268.921 -416.269 156.522 0
260.102 -422.613 158.093 0
251.098 -429.01 160.071 0
241.846 -435.286 161.982 0
232.36 -441.215 163.257 0
222.67 -447.21 165.015 0
212.865 -453.155 166.553 0
202.826 -459.01 168.223 0
192.736 -464.877 169.497 0
182.437 -470.563 170.035 0
171.895 -475.985 171.42 0
161.049 -480.974 172.441 0
149.845 -485.288 173.441 0
138.342 -488.966 174.463 0
127.01 -493.133 175.056 0
115.152 -495.857 175.452 0
103.08 -497.646 176.166 0
91.016 -499.874 177.122 0
78.7409 -500.972 178.209 0
66.357 -501.531 178.923 0
53.9124 -501.329 179.769 0
41.4585 -501.476 180.472 0
28.9248 -500.675 181.406 0
16.3289 -499.918 182.45 0
3.69524 -498.774 183.241 0
-9.01471 -497.555 184.482 0
-21.7992 -496.271 185.636 0
-34.6732 -495.088 186.757 0
-47.5629 -494.625 187.218 0
-60.5456 -493.767 187.877 0
-73.6015 -492.862 189.086 0
-86.6964 -491.799 189.987 0
-99.8826 -490.678 191.162 0
-113.08 -489.465 191.7 0
-126.356 -488.065 192.744 0
-139.647 -486.57 193.337 0
-152.979 -485.029 193.019 0
-166.374 -483.529 194.469 0
-179.818 -481.969 195.403 0
-193.326 -480.42 196.436 0
-206.909 -479.386 197.249 0
-220.559 -477.907 198.347 0
-234.197 -476.263 198.94 0
-247.915 -474.36 199.764 0
-261.566 -472.269 199.973 0
-275.21 -469.839 200.072 0
-288.711 -466.719 199.742 0
-301.971 -462.759 199.083 0
-314.728 -457.64 197.897 0
-327.066 -451.656 197.117 0
-338.837 -444.707 196.776 0
-349.661 -436.577 195.04 0
-359.723 -427.592 194.106 0
-369.018 -417.9 193.337 0
-377.74 -407.674 193.854 0
-385.714 -396.848 194.019 0
-393.192 -385.655 194.172 0
-400.012 -374.032 194.315 0
-406.15 -362.022 194.293 0
-411.289 -349.58 194.183 0
-415.789 -336.862 194.37 0
-419.586 -323.91 194.425 0
-422.519 -310.679 194.667 0
-424.49 -297.288 194.722 0
-425.449 -284.03 189.833 0
-425.213 -271.011 185.823 0
-423.786 -258.284 182.516 0
-421.559 -245.92 179.231 0
-417.97 -234.164 174.836 0
-413.547 -223.013 171.134 0
-408.927 -212.113 169.102 0
-405.353 -201.124 164.257 0
-403.034 -190.13 159.697 0
-401.864 -179.234 156.533 0
-401.953 -168.499 153.765 0
-403.239 -157.961 152.205 0
-405.738 -147.78 150.667 0
-409.307 -137.891 151.864 0
-413.821 -128.347 152.644 0
-419.217 -119.203 153.248 0
-425.351 -110.448 154.611 0
-432.286 -102.191 156.006 0
-439.79 -94.3354 157.412 0
-447.731 -86.7614 158.95 0
-455.925 -79.2712 160.73 0
-464.298 -71.7825 162.773 0
-472.664 -64.1447 164.158 0
-481.178 -56.4645 166.014 0
-489.743 -48.6569 167.849 0
-498.124 -40.5351 169.014 0
-506.524 -32.2564 170.75 0
-514.83 -23.7464 171.991 0
-522.947 -14.9258 172.683 0
-530.947 -5.89847 174.32 0
-538.881 3.31245 175.924 0
-547.1 12.4286 177.396 0
